experiment_id,utc,git_commit,label,dataset_version,dataset_pairs,arch,hyperparams,params,macs,val_recall8,val_recall8_hard,test_recall8,test_recall8_hard,latency_us,status,note
FRESH_SUPERVISED-linear,2026-09-19T08:15:34Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linear,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",1579008,2048,0.7095,0.7235,,,31.6,measured,
FRESH_SUPERVISED-linear-mse,2026-09-19T08:15:45Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linear,"{""lr"": 0.03, ""epochs"": 40, ""loss"": ""mse"", ""patience"": 6, ""batch"": 16384}",1579008,2048,0.6949,0.6987,,,31.8,measured,
FRESH_SUPERVISED-linearctx,2026-09-19T08:16:06Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.7389,0.7527,,,59.4,measured,
FRESH_SUPERVISED-linearctx-lr1e2,2026-09-19T08:16:32Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linearctx,"{""lr"": 0.01, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.7426,0.7554,,,59.4,measured,
FRESH_SUPERVISED-linearctx-listnet,2026-09-19T08:16:48Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""loss"": ""listnet"", ""patience"": 6, ""batch"": 16384}",3151872,4096,0.7082,0.7304,,,58.3,measured,
FRESH_SUPERVISED-linearctx-noctx,2026-09-19T08:17:03Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""context"": false, ""patience"": 6, ""batch"": 16384}",1579008,2048,0.7095,0.7235,,,31.9,measured,
FRESH_SUPERVISED-lowrank-r32,2026-09-19T08:18:20Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 32, ""patience"": 6, ""batch"": 16384}",212480,4608,0.5859,0.5925,,,33.2,measured,
FRESH_SUPERVISED-lowrank-r64,2026-09-19T08:20:05Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""patience"": 6, ""batch"": 16384}",418816,9216,0.6586,0.6767,,,35.3,measured,
FRESH_SUPERVISED-lowrank-r96,2026-09-19T08:21:57Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 96, ""patience"": 6, ""batch"": 16384}",625152,13824,0.6823,0.6999,,,37.9,measured,
FRESH_SUPERVISED-resmlp-h64,2026-09-19T08:23:58Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 64, ""patience"": 6, ""batch"": 16384}",443713,18432,0.6798,0.6975,,,90.1,measured,
FRESH_SUPERVISED-resmlp-h128,2026-09-19T08:26:00Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""patience"": 6, ""batch"": 16384}",451969,26624,0.6782,0.6983,,,90.9,measured,
FRESH_SUPERVISED-resmlp-noctx,2026-09-19T08:27:14Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""context"": false, ""patience"": 6, ""batch"": 16384}",435585,25600,0.6549,0.6751,,,70.8,measured,
FRESH_SUPERVISED-resmlp-listnet,2026-09-19T08:29:17Z,ee974ca,FRESH_SUPERVISED,v3-20260919-fresh,6689763,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""loss"": ""listnet"", ""patience"": 6, ""batch"": 16384}",451969,26624,0.6644,0.6888,,,90.5,measured,
FRESH_REAL-linear,2026-09-19T22:45:48Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linear,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",1579008,2048,0.4632,0.3896,,,31.3,measured,
FRESH_REAL-linear-mse,2026-09-19T22:46:00Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linear,"{""lr"": 0.03, ""epochs"": 40, ""loss"": ""mse"", ""patience"": 6, ""batch"": 16384}",1579008,2048,0.4421,0.3671,,,31.9,measured,
FRESH_REAL-linearctx,2026-09-19T22:46:20Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.4926,0.4180,,,58.8,measured,
FRESH_REAL-linearctx-lr1e2,2026-09-19T22:46:54Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linearctx,"{""lr"": 0.01, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.4955,0.4215,,,59.0,measured,
FRESH_REAL-linearctx-listnet,2026-09-19T22:47:14Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""loss"": ""listnet"", ""patience"": 6, ""batch"": 16384}",3151872,4096,0.4859,0.4131,,,79.5,measured,
FRESH_REAL-linearctx-noctx,2026-09-19T22:47:42Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""context"": false, ""patience"": 6, ""batch"": 16384}",1579008,2048,0.4632,0.3896,,,57.7,measured,
FRESH_REAL-lowrank-r32,2026-09-19T22:50:25Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 32, ""patience"": 6, ""batch"": 16384}",212480,4608,0.4072,0.3407,,,76.3,measured,
FRESH_REAL-lowrank-r64,2026-09-19T22:53:10Z,5b45642,FRESH_REAL,v4-20260919-real,7218675,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""patience"": 6, ""batch"": 16384}",418816,9216,0.4344,0.3625,,,62.4,measured,
FRESH_REAL-lowrank-r96,2026-09-19T22:56:08Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,lowrank,"{""lr"": 0.003, ""epochs"": 40, ""r"": 96, ""patience"": 6, ""batch"": 16384}",625152,13824,0.4459,0.3718,,,36.8,measured,
FRESH_REAL-resmlp-h64,2026-09-19T22:58:19Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 64, ""patience"": 6, ""batch"": 16384}",443713,18432,0.4503,0.3764,,,88.0,measured,
FRESH_REAL-resmlp-h128,2026-09-19T23:00:30Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""patience"": 6, ""batch"": 16384}",451969,26624,0.4535,0.3786,,,89.5,measured,
FRESH_REAL-resmlp-noctx,2026-09-19T23:02:32Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""context"": false, ""patience"": 6, ""batch"": 16384}",435585,25600,0.4358,0.3640,,,68.4,measured,
FRESH_REAL-resmlp-listnet,2026-09-19T23:04:43Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,resmlp,"{""lr"": 0.003, ""epochs"": 40, ""r"": 64, ""hidden"": 128, ""loss"": ""listnet"", ""patience"": 6, ""batch"": 16384}",451969,26624,0.4538,0.3816,,,89.6,measured,
FRESH_REAL-phase-mixed,2026-09-19T23:05:28Z,c0862d8,FRESH_REAL,v4-20260919-real,7218675,linearctx,"{""phase"": ""mixed"", ""lr"": 0.01}",3151872,4096,0.7134,0.6776,,,58.9,measured,
FRESH_REAL-phase-decode,2026-09-19T23:05:53Z,c0862d8,FRESH_REAL,v4-20260919-real,3243658,linearctx,"{""phase"": ""decode"", ""lr"": 0.01}",3151872,4096,0.7429,0.7082,,,58.5,measured,
FRESH_REAL-phase-prefill,2026-09-19T23:06:40Z,c0862d8,FRESH_REAL,v4-20260919-real,3975017,linearctx,"{""phase"": ""prefill"", ""lr"": 0.01}",3151872,4096,0.3526,0.3401,,,59.7,measured,
FRESH_REAL_DECODE-linear,2026-09-19T23:07:28Z,4111d55,FRESH_REAL_DECODE,v4-20260919-real,3243658,linear,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",1579008,2048,0.7087,0.6708,,,32.3,measured,
FRESH_REAL_DECODE-linear-mse,2026-09-19T23:07:34Z,4111d55,FRESH_REAL_DECODE,v4-20260919-real,3243658,linear,"{""lr"": 0.03, ""epochs"": 40, ""loss"": ""mse"", ""patience"": 6, ""batch"": 16384}",1579008,2048,0.6846,0.6390,,,30.9,measured,
FRESH_REAL_DECODE-linearctx,2026-09-19T23:07:46Z,4111d55,FRESH_REAL_DECODE,v4-20260919-real,3243658,linearctx,"{""lr"": 0.03, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.7394,0.7043,,,60.2,measured,
FRESH_REAL_DECODE-linearctx-lr1e2,2026-09-19T23:08:11Z,4111d55,FRESH_REAL_DECODE,v4-20260919-real,3243658,linearctx,"{""lr"": 0.01, ""epochs"": 40, ""patience"": 6, ""batch"": 16384}",3151872,4096,0.7429,0.7082,,,58.2,measured,
